no,x,y,z
1,101.6553099,2.9091096,5
2,101.6552469,2.9091445,5
3,101.6552241,2.9092276,5
4,101.6552013,2.9093106,5
5,101.6552047,2.9093562,5
6,101.655208,2.9094017,5
7,101.6552147,2.9094927,5
8,101.6552342,2.9095209,5
9,101.6552536,2.909549,5
10,101.6552731,2.9095771,6
11,101.6552925,2.9096052,6
12,101.6553261,2.9096213,6
13,101.6553596,2.9096374,6
14,101.6553931,2.9096535,6
15,101.6554266,2.9096695,6
16,101.6554454,2.9096274,6
17,101.6554642,2.9095852,6
18,101.655483,2.909543,6
19,101.6555017,2.9095008,6
20,101.6555063,2.9094565,6
21,101.6555108,2.9094121,6
22,101.6555153,2.9093677,6
23,101.6555198,2.9093233,6
24,101.6555098,2.9092744,6
25,101.6554997,2.9092255,8
26,101.6554917,2.9091934,8
27,101.6554836,2.9091452,8
28,101.6554273,2.9091103,8
29,101.6554263,2.9091589,8
30,101.6554253,2.9092074,8
31,101.6554347,2.9093066,8
32,101.655434,2.9093574,8
33,101.6554487,2.9094445,8
34,101.65544,2.9095242,8
35,101.6554018,2.9095517,8
36,101.6553569,2.9095476,8
37,101.6553093,2.9094867,8
38,101.6552804,2.9094023,8
39,101.6552684,2.9093045,8
40,101.6552831,2.9092249,8
41,101.6552851,2.9091853,8
42,101.6553301,2.9091431,8
43,101.6553891,2.9091405,8
44,101.6553871,2.9092054,8
45,101.6553844,2.9092557,8
46,101.6553904,2.9093226,8
47,101.6553911,2.9093923,10
48,101.6554005,2.9094458,10
49,101.6553978,2.90949,10
50,101.6553676,2.9094934,10
51,101.655326,2.9094264,10
52,101.6553073,2.9093554,10
53,101.6553079,2.9093019,10
54,101.6553079,2.9092536,10
55,101.6553126,2.9092074,10
56,101.6553381,2.9091867,10
57,101.6553609,2.90918,10
58,101.6553582,2.9092449,10
59,101.6553555,2.9092938,10
60,101.6553482,2.9093427,10
61,101.6553542,2.9093929,12
62,101.6553703,2.9094452,12
63,101.6554243,2.9094371,12
64,101.6554739,2.9094288,12
65,101.6554658,2.9093638,12
66,101.6554662,2.9093243,12
67,101.6554601,2.9092717,12
68,101.6554578,2.9092366,12
69,101.6554558,2.9092014,12
70,101.6554541,2.9091629,12
71,101.655484,2.9091197,12
72,101.6555336,2.90911,12
73,101.6555389,2.9091622,12
74,101.6555963,2.909175,14
75,101.6556251,2.9091294,14
76,101.6556392,2.9090909,14
77,101.6556248,2.9090608,14
78,101.6555808,2.9090601,14
79,101.6555235,2.9090681,14
80,101.6554746,2.9090668,14
81,101.6554477,2.9090189,14
82,101.6554494,2.9089821,14
83,101.6554937,2.908959,14
84,101.6554957,2.9090005,14
85,101.6554937,2.909033,14
86,101.6555332,2.9090444,14
87,101.6555349,2.9090049,14
88,101.6555363,2.9089499,14
89,101.6555829,2.9089509,14
90,101.6555879,2.9089978,16
91,101.6555939,2.9090404,16
92,101.6556295,2.9090357,16
93,101.6556637,2.9090243,16
94,101.6556855,2.9090005,16
95,101.6556999,2.9089687,16
96,101.6556958,2.9089429,16
97,101.6556801,2.9089034,16
98,101.6556452,2.9088897,16
99,101.6555926,2.9088907,16
100,101.655542,2.9089057,16
