no,x,y,z
1,102.3917227,2.469003987,65.73661041
2,102.3917962,2.469004795,65.17223358
3,102.392028,2.469004927,64.17397308
4,102.3921802,2.469005058,63.77511978
5,102.3923332,2.469005058,65.30157471
6,102.392483,2.46900532,66.42469025
7,102.3919498,2.469005451,63.4536171
8,102.3918754,2.469005517,65.15810394
9,102.3922555,2.469005845,64.52774811
10,102.3921025,2.46900637,63.34932709
11,102.3924082,2.46900637,66.05679321
12,102.3917594,2.469069278,65.72868347
13,102.3918366,2.469069737,65.42415619
14,102.3916846,2.46906996,66.67660522
15,102.3919112,2.469070525,64.5735321
16,102.3921411,2.469070918,63.69078064
17,102.3920658,2.469071443,63.38177109
18,102.3924434,2.469071705,66.40476227
19,102.3923702,2.469071705,65.50281525
20,102.3919876,2.469071837,64.50333405
21,102.3922951,2.469071968,64.80976868
22,102.3922175,2.469072755,64.76599121
23,102.3919509,2.469137697,65.03355408
24,102.391795,2.469138025,66.43239594
25,102.392255,2.469138091,64.35488892
26,102.3917186,2.469138287,66.0625
27,102.3921015,2.469138353,64.05124664
28,102.3920264,2.469138353,64.4706955
29,102.3918724,2.469138484,65.07563782
30,102.3921776,2.469138615,63.74792099
31,102.3923334,2.46913914,64.92510986
32,102.3924024,2.46914019,66.26799011
33,102.3918338,2.469199884,65.86421204
34,102.3916811,2.469200868,66.87966919
35,102.3922167,2.469202114,65.11634827
36,102.3919879,2.469203164,65.350914
37,102.3921387,2.469203164,63.81232071
38,102.3920624,2.469203689,65.05054474
39,102.3917591,2.46920382,66.81634521
40,102.3922946,2.469203951,65.13827515
41,102.3923647,2.469205263,65.62832642
42,102.3919097,2.469205657,65.22154236
43,102.3917199,2.46926745,67.02445984
44,102.391794,2.469267844,66.6346817
45,102.3918732,2.469268631,66.41933441
46,102.3922563,2.469269287,64.99398041
47,102.3921786,2.469269812,63.71962357
48,102.391949,2.469270599,64.92260742
49,102.3920259,2.469270599,65.40773773
50,102.3921015,2.469270599,64.55068207
51,102.3923282,2.469270599,65.30876923
52,102.3918338,2.469334491,66.33683777
53,102.3917564,2.469335541,66.29248047
54,102.3916816,2.469335738,67.32615662
55,102.3919102,2.469335934,65.62890625
56,102.3922175,2.469336197,64.6787262
57,102.3919879,2.469336722,65.12119293
58,102.3920632,2.469337246,64.73236084
59,102.3922888,2.469337509,65.46419525
60,102.3921411,2.469337771,64.57229614
