no,x,y,z
1,2.469842278,102.3926467,75.89344025
2,2.469822935,102.392716,76.16075134
3,2.469808483,102.392796,76.13084412
4,2.469798178,102.3928618,76.7505188
5,2.469794502,102.392997,76.31794739
6,2.469793634,102.3930666,76.62792206
7,2.469793207,102.3929285,76.14664459
8,2.469789372,102.3931393,77.338974
9,2.469787285,102.3932178,76.60360718
10,2.46978168,102.3932762,76.69007874
11,2.469771077,102.3933871,76.24897003
12,2.469758975,102.3934436,75.44403076
13,2.469744116,102.3933175,76.46657562
14,2.469743516,102.3930916,76.79606628
15,2.469743447,102.3927824,76.10338593
16,2.469742574,102.3931628,76.93789673
17,2.469741964,102.3930103,76.42282867
18,2.469741954,102.3932404,76.58112335
19,2.46974128,102.3927031,74.83193207
20,2.469740852,102.3935044,75.39446259
21,2.469739811,102.3928595,76.17971802
22,2.469739039,102.3929384,76.36729431
23,2.469704048,102.3935782,74.89809418
24,2.469680334,102.3935084,75.22363281
25,2.469677096,102.3934346,76.23044586
26,2.469676891,102.3927431,75.22257233
27,2.469676338,102.3929721,75.32427216
28,2.46967612,102.3928225,75.21620178
29,2.469675858,102.3933558,75.93973541
30,2.46967525,102.3931258,75.1021347
31,2.469675244,102.393201,75.72902679
32,2.469675096,102.3930479,76.14279175
33,2.469673542,102.3932789,76.3252182
34,2.469672325,102.392897,75.92547607
35,2.469672301,102.3936293,74.81903076
36,2.469630362,102.3936865,74.21858978
37,2.469615083,102.3936212,74.04198456
38,2.469610794,102.3928579,75.34586334
39,2.469610061,102.3935442,74.83878326
40,2.469610023,102.3927807,75.07517242
41,2.469609616,102.3932406,75.9582901
42,2.469609476,102.3930125,75.74532318
43,2.469609168,102.3929349,75.9959259
44,2.469608996,102.3933178,75.89887238
45,2.469608991,102.3933939,75.92344666
46,2.469608698,102.3930888,76.20401764
47,2.469608062,102.3934715,75.10552216
48,2.469606066,102.3931649,76.06921387
49,2.469546759,102.3934303,75.72292328
50,2.469545817,102.3935795,74.23078156
51,2.469544239,102.3928978,75.43748474
52,2.469544142,102.3932792,75.72688293
53,2.469543583,102.3936619,73.75717163
54,2.469542766,102.393052,75.86650848
55,2.469541667,102.393357,75.5602951
56,2.469541213,102.3932051,75.61615753
57,2.469541196,102.3935101,75.03948212
58,2.469541077,102.3937239,73.48207855
59,2.469541069,102.3929755,75.38021851
60,2.469540846,102.3928233,75.05947876
61,2.469540134,102.3931284,75.94812775
62,2.469539646,102.3937825,73.37869263
63,2.469495809,102.3938174,73.08889008
64,2.469476835,102.3930159,75.76907349
65,2.469476759,102.3928601,74.93878174
66,2.469476603,102.3929376,74.98603058
67,2.469476484,102.3936216,73.96857452
68,2.46947633,102.3937002,73.17106628
69,2.469476029,102.3935479,74.70294952
70,2.469476025,102.3934673,75.25517273
71,2.469475896,102.3931671,75.87973022
72,2.469475437,102.3930909,76.23384094
73,2.469475115,102.3932411,76.12875366
74,2.469474949,102.3933922,75.60515594
75,2.469474365,102.3937624,71.998909
76,2.469474033,102.3933199,75.52108002
77,2.469452226,102.3938252,72.82263947
78,2.469415638,102.3936557,72.95375061
79,2.469412589,102.3931288,75.43295288
80,2.469411822,102.3930537,75.51423645
81,2.469411342,102.3932805,75.56764221
82,2.469411128,102.3929758,75.60033417
83,2.469410044,102.3928968,75.01105499
84,2.469409955,102.3932041,75.81705475
85,2.469409477,102.3934323,75.62267303
86,2.469409172,102.393356,75.4567337
87,2.469408228,102.3935045,75.11180878
88,2.469407772,102.3935864,74.19728851
89,2.469402122,102.3937398,73.0796814
90,2.469346427,102.3929366,75.53659058
91,2.469346271,102.3930144,75.75049591
92,2.469346026,102.3933211,75.16901398
93,2.469345714,102.3933981,75.54660797
94,2.469345409,102.3932435,75.87941742
95,2.469344338,102.3930925,75.71835327
96,2.469344179,102.3931686,75.90618134
97,2.469341064,102.3934702,75.17369843
98,2.469340671,102.3936236,75.16567993
99,2.469308837,102.3935522,75.77307129
100,2.469279875,102.3929775,75.24835968
101,2.469279096,102.393053,74.45701599
102,2.469278086,102.3932073,75.2432251
103,2.469277928,102.3932839,75.37245941
104,2.469277927,102.3933613,75.36659241
105,2.469277776,102.3931282,75.38246918
106,2.469266753,102.3934577,75.71752167
107,2.469228513,102.3933909,76.31902313
108,2.469215238,102.3932451,74.92752075
109,2.469214244,102.3930154,75.61545563
110,2.469212387,102.3930926,75.39306641
111,2.469211686,102.3931684,75.42305756
112,2.469194667,102.3933188,76.08427429
113,2.469147222,102.3931315,75.26935577
114,2.469146766,102.3930571,75.21472168
