no,x,y,z
1,3.2572686,101.4967711,40.54377747
2,3.2573419,101.4967807,40.68369293
3,3.2574111,101.4967891,40.55080032
4,3.2574833,101.496794,40.01591492
5,3.2575557,101.4967998,40.29970932
6,3.2576278,101.496801,40.64374161
7,3.2576988,101.4968017,39.91246414
8,3.2577692,101.4968114,39.94815445
9,3.257848,101.4968248,39.88079834
10,3.2581727,101.4969427,41.43667984
11,3.2581138,101.4969219,41.01494217
12,3.2580412,101.4969031,41.72248459
13,3.2579725,101.4968907,41.7984848
14,3.2579027,101.4968767,41.61764908
15,3.2578293,101.4968717,41.3930397
16,3.2577528,101.496866,41.05493927
17,3.2576759,101.4968628,41.00137711
18,3.2575979,101.4968596,41.97766113
19,3.2575173,101.4968598,41.95580673
20,3.2574397,101.496856,41.76278687
21,3.2573598,101.4968487,41.86150742
22,3.2572785,101.4968355,41.92345047
23,3.257284,101.4969009,44.0234108
24,3.2573619,101.496911,43.87740326
25,3.2574394,101.4969147,44.18175125
26,3.2575201,101.4969215,44.1175766
27,3.2575929,101.496924,43.43645859
28,3.2576716,101.4969257,43.97161865
29,3.2577457,101.4969296,43.56881332
30,3.2578245,101.4969331,43.90538788
31,3.2579081,101.4969414,43.57745743
32,3.2579841,101.4969584,43.66038132
33,3.2580569,101.4969711,43.63467789
34,3.2581302,101.4969781,44.12467575
35,3.2579896,101.4970143,45.67417526
36,3.2579197,101.497,45.66989899
37,3.257852,101.4969939,45.5735321
38,3.2577659,101.4969879,45.93519974
39,3.2576862,101.4969846,45.48858261
40,3.257605,101.4969853,45.61339951
41,3.2575269,101.4969803,46.67268372
42,3.2574465,101.4969775,46.28328705
43,3.2573663,101.4969732,45.46666336
44,3.2572889,101.4969648,46.26880646
45,3.2572745,101.4970322,48.45758057
46,3.2573563,101.4970372,48.10342407
47,3.257433,101.497042,48.35267639
48,3.2575135,101.4970485,48.03245926
49,3.257585,101.4970494,47.75066757
50,3.2576561,101.4970452,48.32725143
51,3.2577257,101.4970483,47.76295471
52,3.2578039,101.4970479,47.52907181
53,3.2574799,101.4971082,49.67907333
54,3.2574107,101.497103,50.49720001
55,3.25734,101.4971001,50.20675278
56,3.2572688,101.4971018,49.8599968
