no,x,y,z
5.0,101.4960205,3.2582316000000002,31.63370895
4.0,101.49609040000001,3.2582654,30.91061592
3.0,101.4961612,3.2582999,30.61964798
2.0,101.4962342,3.2583362,30.46574402
1.0,101.4963046,3.2583710999999997,30.07014465
11.0,101.4963127,3.2584507,29.98701286
10.0,101.4962412,3.2584151,30.26770401
9.0,101.49616970000001,3.2583783,30.48008156
8.0,101.4960978,3.2583463,30.63073349
7.0,101.4960261,3.2583109,31.06361008
6.0,101.495972,3.2582881,31.69663239
16.0,101.4959581,3.2583541,31.77162933
15.0,101.4960355,3.2583922000000003,30.61736298
14.0,101.4961065,3.2584253,30.23049927
13.0,101.4962536,3.2584956000000003,30.24933052
12.0,101.49632509999999,3.2585294,30.00646591
23.0,101.49633270000001,3.2586082000000003,29.91955376
22.0,101.4962527,3.2585737,29.93238831
21.0,101.4961863,3.2585387000000003,29.94226646
20.0,101.4961155,3.2585046,30.06036377
19.0,101.4960442,3.2584722000000004,30.45495415
18.0,101.4959694,3.2584348,31.40100861
17.0,101.49591159999999,3.258409,32.15823746
30.0,101.4959076,3.2584811,32.22747803
29.0,101.4959817,3.2585127999999997,30.85483742
28.0,101.4960525,3.258546,30.39844704
27.0,101.4961271,3.2585818,29.95589447
26.0,101.4961956,3.2586205,29.74977875
25.0,101.4962661,3.2586546000000003,29.77607918
24.0,101.4963427,3.2586889,29.87695885
38.0,101.496352,3.2587683,29.77014351
37.0,101.49627509999999,3.2587325000000003,29.78074074
36.0,101.4962067,3.2586995,29.79457664
35.0,101.4961311,3.2586627999999997,29.87844086
34.0,101.4960604,3.2586315,30.14669228
33.0,101.49598879999999,3.2585964,30.62402916
32.0,101.4959179,3.258559,31.51591301
31.0,101.4958488,3.2585222000000003,32.21595001
