no,x,y,z
"1",101.4969134000,3.2582461780,42.9501300000
"2",101.4968842000,3.2581721810,43.0537900000
"3",101.4968551000,3.2581109880,42.8931400000
"4",101.4968500000,3.2580404970,42.1145700000
"5",101.4968489000,3.2578529750,42.8052900000
"6",101.4968367000,3.2577769910,43.0589600000
"7",101.4968262000,3.2577065130,43.0098100000
"8",101.4968254000,3.2576343910,43.8507700000
"9",101.4968249000,3.2575619430,43.3687200000
"10",101.4968191000,3.2574901570,43.1474800000
"11",101.4968139000,3.2574177210,43.5656300000
"12",101.4968044000,3.2573495100,43.9848300000
"13",101.4967949000,3.2572769230,43.8089700000
"14",101.4968434000,3.2571408190,46.0774900000
"15",101.4968528000,3.2572145410,44.9117200000
"16",101.4968588000,3.2572855160,45.1136100000
"17",101.4968728000,3.2573674930,44.9459600000
"18",101.4968801000,3.2574467300,44.8367500000
"19",101.4968843000,3.2575253280,45.0275700000
"20",101.4968823000,3.2576052370,45.1799500000
"21",101.4968881000,3.2576833440,44.1840800000
"22",101.4968914000,3.2577611330,44.3220300000
"23",101.4968959000,3.2578394060,44.9538900000
"24",101.4969032000,3.2579098910,44.6566600000
"25",101.4969167000,3.2579808480,44.8982800000
"26",101.4969288000,3.2580484040,44.6772800000
"27",101.4969481000,3.2581219390,44.0893000000
"28",101.4969682000,3.2581807240,44.5613900000
"29",101.4970034000,3.2581371990,47.3423000000
"30",101.4969966000,3.2580637950,46.6748900000
"31",101.4969839000,3.2579921880,46.9138400000
"32",101.4969674000,3.2579158900,46.9199100000
"33",101.4969601000,3.2578342210,47.2780800000
"34",101.4969562000,3.2577525440,46.9038900000
"35",101.4969521000,3.2576778360,47.0308600000
"36",101.4969498000,3.2576010170,46.6756300000
"37",101.4969469000,3.2575284130,47.3947800000
"38",101.4969420000,3.2574467380,47.0256800000
"39",101.4969367000,3.2573700890,47.2927700000
"40",101.4969270000,3.2572915050,47.5103400000
"41",101.4969132000,3.2572140660,47.5142300000
"42",101.4969035000,3.2571379140,47.5292100000
"43",101.4968859000,3.2570612950,47.6875800000
"44",101.4968692000,3.2569981260,47.6579500000
"45",101.4968508000,3.2569216710,47.6538400000
"46",101.4968314000,3.2568534850,48.0905500000
"47",101.4968511000,3.2567954120,50.4525000000
"48",101.4968777000,3.2568647150,49.8683900000
"49",101.4969050000,3.2569281820,49.6332300000
"50",101.4969350000,3.2570050940,49.1609300000
"51",101.4969563000,3.2570752200,49.0317900000
"52",101.4969698000,3.2571474730,49.0999900000
"53",101.4969816000,3.2572228100,49.3134900000
"54",101.4969870000,3.2572969470,49.5275600000
"55",101.4969991000,3.2573745530,49.0709300000
"56",101.4970041000,3.2574547690,49.5909900000
"57",101.4970063000,3.2575332090,50.1945900000
"58",101.4970115000,3.2576147210,49.0301700000
"59",101.4970109000,3.2576951130,48.8056900000
"60",101.4970149000,3.2577738730,49.3307500000
"61",101.4970193000,3.2578587910,48.8383600000
"62",101.4970261000,3.2579274950,48.8759800000
"63",101.4970384000,3.2579987780,49.0573800000
"64",101.4970729000,3.2578136000,51.1673600000
"65",101.4970727000,3.2577345060,51.3379900000
"66",101.4970713000,3.2576631960,51.5896400000
"67",101.4970759000,3.2575908970,51.1424000000
"68",101.4970744000,3.2575205590,51.3561100000
"69",101.4970675000,3.2574411580,51.8927100000
"70",101.4970637000,3.2573627220,51.6493600000
"71",101.4970581000,3.2572816970,51.8461900000
"72",101.4970530000,3.2572039120,52.0320600000
"73",101.4970403000,3.2571248500,51.1071300000
"74",101.4970204000,3.2570477510,51.4460600000
"75",101.4969957000,3.2569732560,50.9479700000
"76",101.4969642000,3.2569010480,51.6763000000
"77",101.4969315000,3.2568278700,51.3263900000
"78",101.4968955000,3.2567553490,52.6024600000
"79",101.4968695000,3.2566899340,51.3583700000
"80",101.4968471000,3.2566235380,51.4107200000
"81",101.4968221000,3.2565558520,52.2512600000
"82",101.4968399000,3.2564235520,54.7702800000
"83",101.4968574000,3.2564932020,54.5271800000
"84",101.4968773000,3.2565641430,54.1672200000
"85",101.4969117000,3.2566340750,53.7526100000
"86",101.4969444000,3.2567070900,53.8215300000
"87",101.4969778000,3.2567815630,54.1372000000
"88",101.4970067000,3.2568518330,52.0246800000
"89",101.4970391000,3.2569266320,53.4670600000
"90",101.4970665000,3.2569922050,53.7113800000
"91",101.4970922000,3.2570607000,53.8680400000
"92",101.4971091000,3.2571313240,53.5368800000
"93",101.4971217000,3.2572048760,54.0355000000
"94",101.4971279000,3.2572763370,53.5122100000
"95",101.4971258000,3.2573466840,53.6781700000
"96",101.4971287000,3.2574189630,53.8861700000
"97",101.4971337000,3.2574878340,53.2060900000
